error: Mar-10-2022 15:27:55: 	undefined
error: Mar-10-2022 15:27:55: 	
error: Mar-10-2022 15:27:55: 	
error: Mar-10-2022 15:27:55: 	در سرور خطایی رخ داده است . لطفا مجدد تلاش کنید
info: Mar-10-2022 16:04:52: 	Connect to Redis
info: Mar-10-2022 16:04:53: 	Connecto To Databse
info: Mar-10-2022 16:10:25: 	Connect to Redis
info: Mar-10-2022 16:10:26: 	Connecto To Databse
info: Mar-10-2022 16:11:39: 	Connect to Redis
info: Mar-10-2022 16:11:39: 	Connecto To Databse
info: Mar-10-2022 16:16:37: 	Connect to Redis
info: Mar-10-2022 16:16:37: 	Connecto To Databse
info: Mar-10-2022 16:20:08: 	Connect to Redis
info: Mar-10-2022 16:20:08: 	Connecto To Databse
info: Mar-10-2022 16:20:14: 	Connect to Redis
info: Mar-10-2022 16:20:15: 	Connecto To Databse
info: Mar-10-2022 16:21:01: 	Connect to Redis
info: Mar-10-2022 16:21:02: 	Connecto To Databse
info: Mar-10-2022 16:23:46: 	Connect to Redis
info: Mar-10-2022 16:23:47: 	Connecto To Databse
info: Mar-10-2022 16:23:53: 	Connect to Redis
info: Mar-10-2022 16:23:54: 	Connecto To Databse
error: Apr-20-2022 12:59:37: 	Error Connect ot Redis
error: Apr-20-2022 13:01:17: 	Error Connect ot Redis
error: Apr-20-2022 13:01:19: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:01:19: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:01:19: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 13:01:21: 	Error Connect ot Redis
error: Apr-20-2022 13:01:31: 	Error Connect ot Redis
error: Apr-20-2022 13:01:35: 	Error Connect ot Redis
error: Apr-20-2022 13:01:44: 	Error Connect ot Redis
info: Apr-20-2022 13:01:44: 	Connecto To Databse
error: Apr-20-2022 13:02:30: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:02:30: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:02:30: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 13:02:38: 	Error Connect ot Redis
error: Apr-20-2022 13:02:54: 	Error Connect ot Redis
info: Apr-20-2022 13:02:57: 	Connecto To Databse
error: Apr-20-2022 13:03:33: 	Error Connect ot Redis
error: Apr-20-2022 13:03:36: 	Error Connect ot Redis
error: Apr-20-2022 13:03:39: 	Error Connect ot Redis
error: Apr-20-2022 13:03:42: 	Error Connect ot Redis
info: Apr-20-2022 13:03:58: 	Connecto To Databse
error: Apr-20-2022 13:05:01: 	Error Connect ot Redis
error: Apr-20-2022 13:05:02: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:05:02: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:05:02: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 13:05:05: 	Error Connect ot Redis
error: Apr-20-2022 13:05:14: 	Error Connect ot Redis
error: Apr-20-2022 13:05:20: 	Error Connect ot Redis
error: Apr-20-2022 13:05:24: 	Error Connect ot Redis
info: Apr-20-2022 13:05:28: 	Connecto To Databse
error: Apr-20-2022 13:08:43: 	Error Connect ot Redis
error: Apr-20-2022 13:08:49: 	Error Connect ot Redis
error: Apr-20-2022 13:08:52: 	Error Connect ot Redis
error: Apr-20-2022 13:08:56: 	Error Connect ot Redis
error: Apr-20-2022 13:09:05: 	Error Connect ot Redis
error: Apr-20-2022 13:09:24: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:09:24: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:09:24: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 13:09:27: 	Error Connect ot Redis
error: Apr-20-2022 13:09:30: 	Error Connect ot Redis
error: Apr-20-2022 13:09:33: 	Error Connect ot Redis
error: Apr-20-2022 13:09:36: 	Error Connect ot Redis
error: Apr-20-2022 13:09:40: 	Error Connect ot Redis
info: Apr-20-2022 13:09:42: 	Connecto To Databse
error: Apr-20-2022 13:10:28: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:10:28: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:10:28: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 13:10:34: 	Error Connect ot Redis
error: Apr-20-2022 13:10:39: 	Error Connect ot Redis
info: Apr-20-2022 13:10:54: 	Connecto To Databse
error: Apr-20-2022 13:11:07: 	Error Connect ot Redis
error: Apr-20-2022 13:11:15: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:11:15: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:11:15: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 13:11:27: 	Error Connect ot Redis
error: Apr-20-2022 13:11:33: 	Error Connect ot Redis
error: Apr-20-2022 13:11:36: 	Error Connect ot Redis
info: Apr-20-2022 13:11:40: 	Connecto To Databse
error: Apr-20-2022 13:11:49: 	Error Connect ot Redis
error: Apr-20-2022 13:11:52: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:11:52: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:11:52: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 13:11:55: 	Error Connect ot Redis
error: Apr-20-2022 13:11:58: 	Error Connect ot Redis
error: Apr-20-2022 13:12:07: 	Error Connect ot Redis
error: Apr-20-2022 13:12:11: 	Error Connect ot Redis
info: Apr-20-2022 13:12:15: 	Connecto To Databse
error: Apr-20-2022 13:12:42: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:12:42: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:12:42: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 13:12:58: 	Error Connect ot Redis
error: Apr-20-2022 13:13:01: 	Error Connect ot Redis
error: Apr-20-2022 13:13:15: 	Error Connect ot Redis
info: Apr-20-2022 13:13:25: 	Connecto To Databse
error: Apr-20-2022 13:14:14: 	Error Connect ot Redis
error: Apr-20-2022 13:14:18: 	Error Connect ot Redis
error: Apr-20-2022 13:14:27: 	Error Connect ot Redis
info: Apr-20-2022 13:14:31: 	Connecto To Databse
error: Apr-20-2022 13:22:20: 	Error Connect ot Redis
error: Apr-20-2022 13:22:25: 	Error Connect ot Redis
error: Apr-20-2022 13:22:38: 	Error Connect ot Redis
error: Apr-20-2022 13:22:41: 	Error Connect ot Redis
error: Apr-20-2022 13:22:44: 	Error Connect ot Redis
error: Apr-20-2022 13:22:54: 	Error Connect ot Redis
error: Apr-20-2022 13:22:58: 	Error Connect ot Redis
error: Apr-20-2022 13:23:08: 	Error Connect ot Redis
error: Apr-20-2022 13:23:19: 	Error Connect ot Redis
error: Apr-20-2022 13:23:24: 	Error Connect ot Redis
error: Apr-20-2022 13:23:36: 	Error Connect ot Redis
error: Apr-20-2022 13:23:40: 	Error Connect ot Redis
error: Apr-20-2022 13:23:53: 	Error Connect ot Redis
error: Apr-20-2022 13:23:59: 	Error Connect ot Redis
info: Apr-20-2022 13:23:59: 	Connecto To Databse
error: Apr-20-2022 13:24:51: 	Error Connect ot Redis
error: Apr-20-2022 13:25:07: 	Error Connect ot Redis
error: Apr-20-2022 13:25:24: 	Error Connect ot Redis
error: Apr-20-2022 13:27:03: 	Error Connect ot Redis
error: Apr-20-2022 13:27:08: 	Error Connect ot Redis
error: Apr-20-2022 13:27:16: 	Error Connect ot Redis
error: Apr-20-2022 13:27:20: 	Error Connect ot Redis
info: Apr-20-2022 13:27:31: 	Connecto To Databse
error: Apr-20-2022 13:33:54: 	Error Connect ot Redis
error: Apr-20-2022 13:33:57: 	Error Connect ot Redis
error: Apr-20-2022 13:34:00: 	Error Connect ot Redis
error: Apr-20-2022 13:34:10: 	Error Connect ot Redis
error: Apr-20-2022 13:34:19: 	Error Connect ot Redis
error: Apr-20-2022 13:34:22: 	Error Connect ot Redis
error: Apr-20-2022 13:34:26: 	Error Connect ot Redis
error: Apr-20-2022 13:34:30: 	Error Connect ot Redis
info: Apr-20-2022 13:34:37: 	Connecto To Databse
error: Apr-20-2022 13:37:55: 	Error Connect ot Redis
error: Apr-20-2022 13:37:58: 	Error Connect ot Redis
error: Apr-20-2022 13:38:01: 	Error Connect ot Redis
error: Apr-20-2022 13:38:08: 	Error Connect ot Redis
error: Apr-20-2022 13:38:11: 	Error Connect ot Redis
error: Apr-20-2022 13:38:16: 	Error Connect ot Redis
info: Apr-20-2022 13:38:20: 	Connecto To Databse
error: Apr-20-2022 13:39:08: 	Error Connect ot Redis
error: Apr-20-2022 13:39:11: 	Error Connect ot Redis
error: Apr-20-2022 13:39:14: 	Error Connect ot Redis
error: Apr-20-2022 13:39:17: 	Error Connect ot Redis
error: Apr-20-2022 13:39:29: 	Error Connect ot Redis
error: Apr-20-2022 13:39:33: 	Error Connect ot Redis
info: Apr-20-2022 13:39:35: 	Connecto To Databse
error: Apr-20-2022 13:41:58: 	Error Connect ot Redis
error: Apr-20-2022 13:42:01: 	Error Connect ot Redis
error: Apr-20-2022 13:42:08: 	Error Connect ot Redis
error: Apr-20-2022 13:42:17: 	Error Connect ot Redis
error: Apr-20-2022 13:42:22: 	Error Connect ot Redis
info: Apr-20-2022 13:42:25: 	Connecto To Databse
error: Apr-20-2022 13:43:45: 	Error Connect ot Redis
error: Apr-20-2022 13:43:48: 	Error Connect ot Redis
error: Apr-20-2022 13:43:57: 	Error Connect ot Redis
error: Apr-20-2022 13:44:06: 	Error Connect ot Redis
error: Apr-20-2022 13:44:09: 	Error Connect ot Redis
error: Apr-20-2022 13:44:24: 	Error Connect ot Redis
error: Apr-20-2022 13:44:27: 	Error Connect ot Redis
info: Apr-20-2022 13:44:30: 	Connecto To Databse
error: Apr-20-2022 13:59:06: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:59:06: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 13:59:06: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 14:07:56: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:07:56: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:07:56: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 14:08:11: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:08:11: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:08:11: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 14:08:15: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:08:15: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:08:15: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 14:11:54: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:11:54: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:11:54: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 14:12:15: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:12:15: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:12:15: 	We Have an Error in Server . Please Try again
error: Apr-20-2022 14:23:48: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:23:48: 	we can not get Api List From Coin market cap . please try again
error: Apr-20-2022 14:23:48: 	We Have an Error in Server . Please Try again
